John Barnes,NEUROLOGY,DOCTOR,4,9023475009,doc0@iith.ac.in,71
Gerald Thomas,ORTHOPEDICS,DOCTOR,1,6419946742,doc1@iith.ac.in,91
Jacob Davis,CARDIOLOGY,DOCTOR,4,6326529087,doc2@iith.ac.in,31
Antonio Huang,GYNECOLOGY,DOCTOR,3,6134960052,doc3@iith.ac.in,93
Kari Dean,PULMONOLOGY,DOCTOR,1,8470000078,doc4@iith.ac.in,49
Paul Morgan,PEDIATRICS,DOCTOR,2,6871572307,doc5@iith.ac.in,8
Brittany Fisher,GENERAL MEDICINE,DOCTOR,2,8135599725,doc6@iith.ac.in,56
Patricia Walker,NEUROLOGY,DOCTOR,5,9602700366,doc7@iith.ac.in,15
Randy Simmons,ORTHOPEDICS,DOCTOR,4,9544147873,doc8@iith.ac.in,4
Robert Lewis,CARDIOLOGY,DOCTOR,4,7841115304,doc9@iith.ac.in,14
Tricia Brown,GYNECOLOGY,DOCTOR,3,6304831403,doc10@iith.ac.in,39
Samantha Stone,PULMONOLOGY,DOCTOR,3,6839387338,doc11@iith.ac.in,21
Rachel Foster,PEDIATRICS,DOCTOR,1,8210920768,doc12@iith.ac.in,51
Audrey Newman,GENERAL MEDICINE,DOCTOR,1,6183141540,doc13@iith.ac.in,87
Marc Cline,NEUROLOGY,DOCTOR,1,9688488709,doc14@iith.ac.in,73
Brian Douglas,ORTHOPEDICS,DOCTOR,1,6153956188,doc15@iith.ac.in,9
William Rodriguez,CARDIOLOGY,DOCTOR,1,6278376899,doc16@iith.ac.in,14
Courtney Hamilton,GYNECOLOGY,DOCTOR,1,6104783563,doc17@iith.ac.in,36
Mitchell Gonzales IV,PULMONOLOGY,DOCTOR,1,8660750313,doc18@iith.ac.in,38
Edward Walker,PEDIATRICS,DOCTOR,4,6578987441,doc19@iith.ac.in,1
Todd Osborne,GENERAL MEDICINE,DOCTOR,5,6705325700,doc20@iith.ac.in,73
Angela Santana,NEUROLOGY,DOCTOR,5,8055525552,doc21@iith.ac.in,0
Paige Holden,ORTHOPEDICS,DOCTOR,3,6202098820,doc22@iith.ac.in,91
Jennifer Rich,CARDIOLOGY,DOCTOR,2,8601470179,doc23@iith.ac.in,3
Jessica Spencer,GYNECOLOGY,DOCTOR,4,9330356389,doc24@iith.ac.in,42
Joshua Smith,PULMONOLOGY,DOCTOR,2,6492564587,doc25@iith.ac.in,21
Anna Jones,PEDIATRICS,DOCTOR,5,9084914991,doc26@iith.ac.in,88
Joseph Richardson,GENERAL MEDICINE,DOCTOR,2,8156034051,doc27@iith.ac.in,49
